Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
03/13/1986,0.05459442956988347,0.06262309457643749,0.05459442956988347,0.059946462512016296,1031788800,0.0,0.0
03/14/1986,0.05994647272222338,0.06315830862790438,0.05994647272222338,0.0620872862637043,308160000,0.0,0.0
03/17/1986,0.06208728854622817,0.0636935143548484,0.06208728854622817,0.0631583109498024,133171200,0.0,0.0
03/18/1986,0.06315835283440709,0.06369355659438314,0.0610169222006124,0.061552125960588455,67766400,0.0,0.0
03/19/1986,0.06155211584077491,0.06208731951275786,0.05994650482482606,0.060481708496809006,47894400,0.0,0.0
03/20/1986,0.06048173499883254,0.06048173499883254,0.058340919372833304,0.058876123279333115,58435200,0.0,0.0
03/21/1986,0.05887605861081323,0.05994646524809533,0.056200042017607955,0.05727044865489006,59990400,0.0,0.0
03/24/1986,0.05727047410689904,0.05727047410689904,0.05512965988091922,0.05566486343741417,65289600,0.0,0.0
03/25/1986,0.05566486262789937,0.056735269725322716,0.05512965907918769,0.05673526972532272,32083200,0.0,0.0
03/26/1986,0.0567352776013834,0.0588760920934206,0.05620007397837411,0.0583408884704113,22752000,0.0,0.0
03/27/1986,0.05834087655504706,0.05941128358244896,0.05834087655504706,0.05941128358244896,16848000,0.0,0.0
03/31/1986,0.059411327185832925,0.059411327185832925,0.05780571546633349,0.058876123279333115,12873600,0.0,0.0
04/01/1986,0.0588760920934206,0.0588760920934206,0.0583408884704113,0.0583408884704113,11088000,0.0,0.0
04/02/1986,0.058340919372833304,0.05994653109233273,0.058340919372833304,0.058876123279333115,27014400,0.0,0.0
04/03/1986,0.05941128358244896,0.06101689412355182,0.05941128358244896,0.05941128358244896,23040000,0.0,0.0
04/04/1986,0.05941128358244896,0.059946487096149914,0.05941128358244896,0.05941128358244896,26582400,0.0,0.0
04/07/1986,0.0594112957164299,0.0599464993394392,0.057270481224392704,0.0583408884704113,16560000,0.0,0.0
04/08/1986,0.058340919372833304,0.05994653109233273,0.058340919372833304,0.058876123279333115,10252800,0.0,0.0
04/09/1986,0.05887605592358973,0.06048166580622958,0.05887605592358973,0.059946462512016296,12153600,0.0,0.0
04/10/1986,0.05994650482482606,0.06101691216879196,0.05887609748086016,0.060481708496809006,13881600,0.0,0.0
04/11/1986,0.0610169222006124,0.06262314907443105,0.0610169222006124,0.061552125960588455,17222400,0.0,0.0
